,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
395,Exiles,Avengers (2010) #16,Deadpool Classic Vol. 20: Ultimate Deadpool (Trade Paperback),Exiles (2009) #1,Exiles (2018) #1,Exiles (2001) #1,Exiles (2009) #1 (Wolverine Variant),Exiles (2001) #2,Exiles (2009) #2,Exiles (2018) #2,Exiles (2001) #3,Exiles (2009) #3,Exiles (2018) #3,Exiles (2001) #4,Exiles (2009) #4,Exiles (2018) #4,Exiles (2018) #5,Exiles (2009) #5,Exiles (2001) #5,Exiles (2009) #5 (70TH FRAME VARIANT),Exiles (2018) #6,,,,,,,,,,,,,,,
396,Exodus,Avengers (1963) #369,West Coast Avengers (1985) #101,Cable (1993) #30,Excalibur (1988) #71,Excalibur (1988) #106,Immortal X-Men (2022) #5,Immortal X-Men (2022) #10,Quicksilver (1997) #12,Uncanny X-Men (2016) #14,Uncanny X-Men (1963) #304,Uncanny X-Men (1963) #307,Uncanny X-Men (1963) #315,Uncanny X-Men Annual  (1999) #1,X-Force (1991) #25,X-Men (2019) #11,X-Men (1991) #25,X-Men (1991) #26,X-Men (1991) #42,X-Men (2004) #162,X-Men Chronicles (1995) #2,,,,,,,,,,,,,,,
397,Expediter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Ezekiel,Amazing Spider-Man (1999) #635,AMAZING SPIDER-MAN VOL. 7: BOOK OF EZEKIEL TPB (Trade Paperback),Amazing Spider-Man Vol. 7: The Book of Ezekiel (Trade Paperback),Amazing Spider-Man (1999) #49,Amazing Spider-Man (1999) #505,Amazing Spider-Man (1999) #506,Amazing Spider-Man (1999) #507,Amazing Spider-Man (1999) #508,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Ezekiel Stane,Invincible Iron Man (2008) #1,Invincible Iron Man (2008) #2,Invincible Iron Man (2008) #3,Invincible Iron Man (2008) #4,Invincible Iron Man (2008) #5,Invincible Iron Man (2008) #6,Invincible Iron Man (2008) #519,Invincible Iron Man (2008) #521,Invincible Iron Man (2008) #522,Invincible Iron Man (2008) #523,Invincible Iron Man (2008) #524,Invincible Iron Man (2008) #525,Invincible Iron Man (2008) #526,Invincible Iron Man Vol. 1: The Five Nightmares (Trade Paperback),The Order (2007) #8,The Order (2007) #9,The Order (2007) #10,,,,,,,,,,,,,,,,,,
400,Fabian Cortez,S.W.O.R.D. (2020) #5,S.W.O.R.D. (2020) #7,Uncanny X-Men (1963) #300,Uncanny X-Men (1963) #301,Uncanny X-Men (1963) #302,Way of X (2021) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Falcon,Amazing Spider-Man Annual (1964) #15,Avengers (1998) #1,Avengers (1998) #2,Avengers (1998) #3,Avengers (1998) #4,Avengers (1998) #27,Avengers (1998) #57,Avengers (1998) #58,Avengers (1998) #59,Avengers (1998) #60,Avengers (1998) #61,Avengers (1998) #63,Avengers (1998) #64,Avengers (1998) #68,Avengers (1998) #69,Avengers (1963) #88,Avengers (1963) #146,Avengers (1963) #312,Avengers Assemble (Hardcover),Avengers Assemble Vol. 3 (Hardcover),,,,,,,,,,,,,,,
402,Falcon/Sam Wilson (MAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Fallen One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Famine,Uncanny X-Men (1963) #294,Uncanny X-Men (1963) #295,X-Factor (1986) #15,X-Factor (1986) #17,X-Factor (1986) #19,X-Factor (1986) #21,X-Factor (1986) #22,X-Factor (1986) #23,X-Factor (1986) #24,X-Factor (1986) #25,X-Factor (1986) #26,X-Factor (1986) #27,X-Factor (1986) #47,X-Factor (1986) #84,X-FACTOR VISIONARIES: PETER DAVID VOL. 4 TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,
405,Fantastic Four,4 (2004) #1,4 (2004) #2,4 (2004) #3,4 (2004) #4,4 (2004) #5,4 (2004) #6,4 (2004) #7,4 (2004) #8,4 (2004) #9,4 (2004) #10,4 (2004) #11,4 (2004) #12,4 (2004) #13,4 (2004) #14,4 (2004) #15,4 (2004) #16,4 (2004) #17,4 (2004) #18,4 (2004) #19,4 (2004) #20,,,,,,,,,,,,,,,
406,Fantastic Four (Ultimate),Official Handbook of the Ultimate Marvel Universe (2006) #1,Official Handbook of the Ultimate Marvel Universe (2006) #2,Ultimate Comics Mystery (2010) #1,Ultimate Comics Mystery (2010) #2,Ultimate Comics Mystery (2010) #3,Ultimate Comics Mystery (2010) #4,Ultimate Comics Doom (2010) #4,Ultimate Fantastic Four (2003) #1,Ultimate Fantastic Four (2003) #2,Ultimate Fantastic Four (2003) #3,Ultimate Fantastic Four (2003) #4,Ultimate Fantastic Four (2003) #5,Ultimate Fantastic Four (2003) #6,Ultimate Fantastic Four (2003) #7,Ultimate Fantastic Four (2003) #8,Ultimate Fantastic Four (2003) #9,Ultimate Fantastic Four (2003) #10,Ultimate Fantastic Four (2003) #12,Ultimate Fantastic Four (2003) #13,Ultimate Fantastic Four (2003) #14,,,,,,,,,,,,,,,
407,Fantastick Four,Fantastic Four: Isla De La Muerte! (2007) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Fantomex,A+X (2012) #10,ALL-NEW X-MEN: INEVITABLE VOL. 4 - IVX TPB (Trade Paperback),Astonishing X-Men (2017) #1,Astonishing X-Men (2017) #2,Astonishing X-Men (2017) #4,Astonishing X-Men (2017) #7,Astonishing X-Men (2017) #8,Astonishing X-Men by Charles Soule Vol. 1: Life of X (Trade Paperback),Dark Reign: The List - Wolverine (2009) #1,Fear Itself: Uncanny X-Force (2011) #1,Fear Itself: Uncanny X-Force (2011) #2,Fear Itself: Uncanny X-Force (2011) #3,Giant-Size X-Men: Fantomex (2020) #1,New X-Men (Hardcover),New X-Men (2001) #129,New X-Men (2001) #142,New X-Men (2001) #143,New X-Men (2001) #144,New X-Men (2001) #145,New X-Men (2001) #146,,,,,,,,,,,,,,,
