,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
67,Armor (Hisako Ichiki),Age Of X-Man: Nextgen (Trade Paperback),Astonishing X-Men (2004) #25,Astonishing X-Men (2004) #26,Astonishing X-Men (2004) #27,Astonishing X-Men (2004) #31,Astonishing X-Men (2004) #32,Astonishing X-Men (2004) #33,Astonishing X-Men (2004) #34,Astonishing X-Men (2004) #35,Astonishing X-Men (2004) #36,Astonishing X-Men (2004) #37,Astonishing X-Men (2004) #38,Astonishing X-Men (2004) #39,Cable (2020) #1,Cable (2017) #153,Cable Director's Cut Edition (2020) #1,Cable Vol. 2: The Newer Mutants (Trade Paperback),The Secret X-Men (2022) #1,Uncanny X-Men (1963) #510,Uncanny X-Men (1963) #517,,,,,,,,,,,,,,,
68,Armory,Avengers: The Initiative Annual (2007) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Arnim Zola,Captain America (2018),Captain America (2012) #2,Captain America (2012) #4,Captain America (2012) #5,Captain America (2012) #6,Captain America (2012) #7,Captain America (2012) #8,Captain America (2012) #9,Captain America (2012) #22,Captain America (2012) #24,Captain America (2004) #24,Captain America (1968) #208,Captain America (1968) #209,Captain America and the Falcon: The Swine (Trade Paperback),Captain America: Reborn (2009) #1,Captain America: Reborn (2009) #4,Captain America: Reborn (2009) #5,Captain America: Reborn (2009) #6,Captain America: Reborn (2009) #6 (2ND PRINTING VARIANT),CAPTAIN AMERICA: REBORN MGC 1 (2011) #1,,,,,,,,,,,,,,,
70,Arsenic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Artiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Asgardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Askew-Tronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Atlas (Team),Avengers (1998) #12,Avengers (1998) #32,Avengers (1998) #33,Avengers (1998) #34,Avengers Assemble Vol. 2 (Hardcover),Avengers Assemble Vol. 3 (Hardcover),Journey Into Mystery (1952) #124,Marvel Masterworks: The Mighty Thor Vol. 4 (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Attuma,Alpha Flight (2011) #1,Alpha Flight (2011) #2,Alpha Flight (2011) #3,Alpha Flight (2011) #3 (Eaglesham Variant),Alpha Flight (1983) #39,Avengers (1963) #26,Avengers (1963) #27,Avengers (1998) #42,Avengers (1998) #43,Avengers (1963) #154,Avengers (1963) #155,Avengers (1963) #156,Avengers (1963) #272,Avengers Annual (2001) #1,Avengers Assemble Vol. 4 (Hardcover),Avengers Vs (2015) #1,Avengers Vs (2015) #2,Avengers Vs (2015) #3,Avengers Vs (2015) #4,AVENGERS: THE KANG DYNASTY TPB (Trade Paperback),,,,,,,,,,,,,,,
77,Aurora,Age of Apocalypse: The Chosen (1995) #1,Alpha Flight (2011) #1,Alpha Flight (1983) #1,Alpha Flight (2011) #1 (Eaglesham Variant),Alpha Flight (2011) #2,Alpha Flight (1983) #2,Alpha Flight (2011) #3,Alpha Flight (1983) #3,Alpha Flight (1983) #4,Alpha Flight (1983) #7,Alpha Flight (1983) #8,Alpha Flight (1983) #10,Alpha Flight (1983) #11,Alpha Flight (1983) #12,Alpha Flight (2004) #12,Alpha Flight (1983) #13,Alpha Flight (1983) #14,Alpha Flight (1983) #15,Alpha Flight (1983) #16,Alpha Flight (1983) #17,,,,,,,,,,,,,,,
78,Avalanche,Age of X: Alpha (2010) #1,Avengers Annual (1967) #15,Cable (1993) #87,Excalibur (2019) #8,Excalibur (2019) #16,New Mutants (2003) #9,New Mutants Classic Vol. 2 (Trade Paperback),Quicksilver (1997) #9,Uncanny Avengers (2012) #1,Uncanny X-Men (1963) #142,Uncanny X-Men (1963) #177,Uncanny X-Men (1963) #178,Uncanny X-Men (1963) #199,Uncanny X-Men (1963) #200,Uncanny X-Men (1963) #206,Uncanny X-Men (1963) #225,Uncanny X-Men (1963) #226,Uncanny X-Men (1963) #255,Uncanny X-Men (1963) #401,Uncanny X-Men (1963) #402,,,,,,,,,,,,,,,
79,Avengers,A.X.E.: Avengers (2022) #1,A.X.E.: Eve Of Judgment (2022) #1,A.X.E.: Judgment Day (Trade Paperback),A.X.E.: Judgment Day (2022) #1,A.X.E.: Judgment Day (2022) #6,A.X.E.: Judgment Day Companion (Trade Paperback),Absolute Carnage: Avengers (2019) #1,Acts of Vengeance: Avengers (Trade Paperback),Age of Apocalypse (2012) #2 (Avengers Art Appreciation Variant),Age of Heroes (2010) #1,Age of Heroes (2010) #2,Age of Heroes (2010) #3,Age of Heroes (2010) #4,Age of Ultron (2013) #3,Age of Ultron (2013) #4,Age of Ultron (2013) #5,Age of Ultron (2013) #6,Age of Ultron (2013) #7,Age of Ultron (2013) #8,Age of Ultron (2013) #9,,,,,,,,,,,,,,,
80,Avengers (Ultimate),THE ULTIMATES MGC 1 (2011) #1,Ultimate Avengers Vs. New Ultimates (2011) #2,Ultimate Avengers (2009) #1,Ultimate Avengers (2009) #2,Ultimate Avengers (2009) #3,Ultimate Avengers (2009) #4,Ultimate Avengers (2009) #5,Ultimate Avengers (2009) #6,Ultimate Comics Avengers 2 (2010) #1,Ultimate Comics Avengers 2 (2010) #2,Ultimate Comics Avengers 2 (2010) #3,Ultimate Comics Avengers 2 (2010) #4,Ultimate Comics Avengers 2 (2010) #5,Ultimate Comics Avengers 2 (2010) #6,Ultimate Avengers 3 (2010) #1,Ultimate Avengers 3 (2010) #2,Ultimate Avengers 3 (2010) #3,Ultimate Avengers 3 (2010) #4,Ultimate Avengers 3 (2010) #5,Ultimate Avengers 3 (2010) #6,,,,,,,,,,,,,,,
81,Azazel (Mutant),Uncanny X-Men (1963) #428,Weapon X (2017) #26,X-MEN FIRST CLASS: THE HIGH HAND (2011) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Balder,Balder the Brave (1985) #1,Balder the Brave (1985) #2,Balder the Brave (1985) #3,Balder the Brave (1985) #4,Captain Marvel (2002) #7,Captain Marvel (2002) #8,Essential Thor Vol. 5 (Trade Paperback),Iron Man (1998) #64,Journey Into Mystery (1952) #113,Journey Into Mystery (1952) #116,Journey Into Mystery (1952) #117,Journey Into Mystery (1952) #121,Journey Into Mystery (1952) #509,Journey Into Mystery (1996) #509,Journey Into Mystery (2011) #626,Marvel Masterworks: The Mighty Thor (Hardcover),Marvel Masterworks: The Mighty Thor (Hardcover),MARVEL MASTERWORKS: THE MIGHTY THOR VOL. 16 HC (Hardcover),Marvel Masterworks: The Mighty Thor Vol. 3 (Hardcover),Marvel Masterworks: The Mighty Thor Vol. 4 (Hardcover),,,,,,,,,,,,,,,
83,Banshee,Alpha Flight (1983) #17,Alpha Flight (1983) #88,Astonishing X-Men (1995) #1,Astonishing X-Men (2017) #14,Captain America (1968) #172,CAPTAIN AMERICA AND THE FALCON: SECRET EMPIRE TPB [NEW PRINTING] (Trade Paperback),Chaos War: X-Men (2010) #1,Chaos War: X-Men (2010) #2,Classic X-Men (1986) #12,Classic X-Men (1986) #13,Classic X-Men (1986) #16,Classic X-Men (1986) #18,Classic X-Men (1986) #25,Classic X-Men (1986) #34,Classic X-Men (1986) #36,Earth X (1999) #6,EARTH X TPB [NEW PRINTING] (Trade Paperback),Excalibur (1988) #115,Generation X (1994) #75,House of M: Uncanny X-Men (Trade Paperback),,,,,,,,,,,,,,,
84,Banshee (Theresa Rourke),Cable (1993) #5,Cable (1993) #7,Cable (1993) #8,Cable (1993) #14,Cable (1993) #15,Cable (1993) #73,CLANDESTINE CLASSIC PREMIERE HC (Hardcover),Deadpool (1997) #2,Deadpool (1997) #3,Deadpool (1997) #4,Deadpool (1997) #5,Deadpool (1997) #12,Deadpool (1997) #13,Deadpool (1997) #22,Deadpool (1997) #38,Deadpool (1997) #56,Deadpool (1997) #69,Deadpool Vol. 1: Secret Invasion (Trade Paperback),Marvel Comics Presents (1988) #43,MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 6 HC (Hardcover),,,,,,,,,,,,,,,
85,Baron Mordo (Karl Mordo),Doctor Strange (2015) #13,Doctor Strange (2015) #23,Doctor Strange (2015) #24,DOCTOR STRANGE EPIC COLLECTION: AFTERLIFE TPB (Trade Paperback),Doctor Strange Vol. 3: Blood in the Aether (Trade Paperback),Doctor Strange Vol. 5: Secret Empire (Trade Paperback),Doctor Strange, Sorcerer Supreme (1988) #5,Doctor Strange, Sorcerer Supreme (1988) #6,Doctor Strange, Sorcerer Supreme (1988) #7,Doctor Strange, Sorcerer Supreme (1988) #8,Doctor Strange, Sorcerer Supreme (1988) #22,Doctor Strange, Sorcerer Supreme (1988) #86,DOCTOR STRANGE, SORCERER SUPREME OMNIBUS VOL. 1 HC (Hardcover),Doctor Strange (1974) #11,Doctor Strange (1974) #12,Guidebook to the Marvel Cinematic Universe (2015) #1,Man-Thing (1979) #4,Spider-Man/Doctor Strange: The Way to Dusty Death (Trade Paperback),Untold Tales of Spider-Man: Strange Encounter (1998) #1,,,,,,,,,
86,Baron Strucker,Captain America (2002) #9,Captain America (2002) #10,Captain America (2002) #18,Captain America (2002) #19,Captain America (2002) #20,Captain America (1968) #131,Captain America (1968) #132,Captain America (1968) #274,Captain America (1968) #394,Captain America Epic Collection: Bucky Reborn (Trade Paperback),Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),Fear Itself: The Book of the Skull (2011) #1,Fury (1994) #1,Marvel Masterworks: Doctor Strange Vol. (Hardcover),Marvel Masterworks: Doctor Strange Vol. (Hardcover),Marvel Super Heroes (1990) #14,Marvel Visionaries: Chris Claremont (Hardcover),Moon Knight (2006) #22,Nick Fury, Agent of S.H.I.E.L.D. (1989) #42,,,,,,,,,,,,,,
87,Baron Zemo (Heinrich Zemo),Avengers (1963) #6,Avengers (1963) #7,Avengers (1963) #10,Avengers Annual (1967) #4,Avengers Undercover: The Complete Collection (Trade Paperback),Avengers: Earth's Mightiest Heroes (2004) #3,Avengers: Earth's Mightiest Heroes (2004) #5,Avengers: Earth's Mightiest Heroes (2004) #6,Captain America (2004) #4,Captain America (2004) #6,Captain America (2002) #9,Captain America (2002) #10,Captain America (2004) #10,Captain America (1968) #100,Captain America: Winter Soldier Vol. 1 (Trade Paperback),Captain America: Winter Soldier Vol. 2 (Trade Paperback),Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),Fantastic Four Annual (1963) #11,Fear Itself: The Book of the Skull (2011) #1,,,,,,,,,,,,,,,
88,Baron Zemo (Helmut Zemo),Captain America (1968) #278,Captain America (1968) #358,Captain America (1968) #359,Captain America (1968) #360,Captain America (1968) #361,Captain America (1968) #362,Captain America (2004) #606 (HEROIC AGE VARIANT),Captain America (2004) #609 (WOMEN OF MARVEL VARIANT),Captain America & Citizen V Annual (1998) #1,Captain America: Steve Rogers (2016) #11,Fear Itself: The Book of the Skull (2011) #1,Hawkeye: Blindspot (2011) #1,Hawkeye: Blindspot (2011) #2,Hawkeye: Blindspot (2011) #3,Hawkeye: Blindspot (2011) #4,Heroes Reborn: Siege Society (2021) #1,Indestructible Hulk (2012) #9,Indestructible Hulk (2012) #10,Marvel Universe Avengers: Ultron Revolution (2017) #5,Marvel Universe Avengers: Ultron Revolution (2017) #9,,,,,,,,,,,,,,,
89,Baroness S'Bak,Annihilation: Super-Skrull (2006) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Barracuda,Punisher Max By Garth Ennis Omnibus Vol. 2 (Hardcover),Punisher Max Vol. 6: Barracuda (Reprint) (Trade Paperback),Punisher Noir (2009) #2,Punisher Noir (2009) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bart Rozum,Damage Control (2022) #3,Damage Control (2022) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bastion,Cable (1993) #46,Cable (1993) #47,Cable/Machine Man Annual (1998) #1,Cable: The Hellfire Hunt (Trade Paperback),Excalibur (1988) #119,Machine Man/Bastion Annual (1998) #1,Uncanny X-Men (1963),Uncanny X-Men (1963) #334,Uncanny X-Men (1963) #337,Uncanny X-Men (1963) #339,Uncanny X-Men (1963) #343,Uncanny X-Men (1963) #346,Uncanny X-Men (1963) #382,X-51 (1999) #12,X-Factor (1986) #127,X-Force (2008) #1,X-Force (2008) #2,X-Force (2008) #4,X-Force (2008) #5,X-Force (2008) #6,,,,,,,,,,,,,,,
93,Batroc the Leaper,Black Panther: Who Is the Black Panther? Infinity Comic (2022) #8,Captain America (1998) #4,Captain America (1968) #105,Captain America (1968) #130,Captain America (1968) #149,Captain America (1968) #358,Captain America (1968) #359,Captain America (1968) #360,Captain America (1968) #361,Captain America (1968) #362,Captain America (1968) #411,Captain America (1968) #412,Captain America (1968) #413,Captain America and Batroc (2010) #1,CAPTAIN AMERICA AND THE AVENGERS: THE COMPLETE COLLECTION TPB (Trade Paperback),Captain America and Bucky (2011) #634,Captain America and Bucky (2011) #635,Captain America: Allies & Enemies (Trade Paperback),CAPTAIN AMERICA: MARVEL KNIGHTS VOL. 2 TPB (Trade Paperback),Deadpool (1997) #20,,,,,,,,,,,,,,,
94,Battering Ram,X-Force (1991) #116,X-Force: Famous, Mutant & Mortal (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Battlestar,Captain America (1968) #419,Fear Itself: Sin's Past (2011) #1,Marvel Zombies Destroy! (2011) #1,Marvel Zombies Destroy! (2011) #2,Marvel Zombies Destroy! (2011) #3,Marvel Zombies Destroy! (2011) #4,Marvel Zombies Destroy! (2011) #5,U.S.Agent (2020) #3,U.S.Agent (2020) #4,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Beak,New Warriors (2007) #1,New Warriors (2007) #2,New X-Men (Hardcover),New X-Men (2001) #117,New X-Men (2001) #119,New X-Men (2001) #125,New X-Men (2001) #126,New X-Men (2001) #131,New X-Men (2001) #135,New X-Men (2001) #136,New X-Men (2001) #137,New X-Men (2001) #138,New X-Men (2001) #141,New X-Men (2001) #149,New X-Men (2001) #150,NEW X-MEN VOL. 2: IMPERIAL TPB (Trade Paperback),New X-Men Vol. III: New Worlds (Hardcover),,,,,,,,,,,,,,,,,,
97,Beast,A+X (2012) #4,A+X (2012) #7,All-New X-Men (2012) #3 (Mcguinness Variant),Alpha Flight (1983) #111,Amazing Adventures (1970) #11,Amazing Adventures (1970) #12,Amazing Adventures (1970) #13,Amazing Adventures (1970) #14,Amazing Adventures (1970) #15,Amazing Adventures (1970) #16,Amazing Adventures (1970) #17,Amazing X-Men (2013) #3,Astonishing X-Men (2004) #1,Astonishing X-Men (2004) #2,Astonishing X-Men (2004) #3,Astonishing X-Men (2004) #4,Astonishing X-Men (2004) #5,Astonishing X-Men (2004) #6,Astonishing X-Men (2004) #7,Astonishing X-Men (2004) #8,,,,,,,,,,,,,,,
98,Beast (Earth-311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Beast (Ultimate),Ultimate Marvel Team-Up (2001) #11,Ultimate Marvel Team-Up Ultimate Collection (Trade Paperback),Ultimate Spider-Man (2000) #93,ULTIMATE SPIDER-MAN VOL. 16: DEADPOOL TPB (Trade Paperback),Ultimate War (2003) #2,Ultimate War (2003) #4,Ultimate X-Men (2001) #1,Ultimate X-Men (2001) #2,Ultimate X-Men (2001) #3,Ultimate X-Men (2001) #4,Ultimate X-Men (2001) #5,Ultimate X-Men (2001) #6,Ultimate X-Men (2001) #7,Ultimate X-Men (2001) #8,Ultimate X-Men (2001) #9,Ultimate X-Men (2001) #10,Ultimate X-Men (2001) #11,Ultimate X-Men (2001) #12,Ultimate X-Men (2001) #15,Ultimate X-Men (2001) #16,,,,,,,,,,,,,,,
100,Becatron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bedlam,Avengers (1998) #24,Avengers (1998) #25,Avengers Assemble Vol. 3 (Hardcover),Cable (1993) #73,Cable (1993) #78,Peter Parker: Spider-Man (1999) #11,Thor (1998) #17,X-Men Vs. Apocalypse Vol. 1: The Twelve (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Beef,Uncanny X-Men (1963) #281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Beetle (Abner Jenkins),The Amazing Spider-Man (1963) #21,Fantastic Four (1961) #330,Fantastic Four (1961) #334,FANTASTIC FOUR VISIONARIES: WALTER SIMONSON VOL. 1 TPB (Trade Paperback),Iron Man (1998) #55,Iron Man (1968) #223,Iron Man (1968) #224,Iron Man (1968) #229,Iron Man (1968) #285,Iron Man: Armor Wars (Trade Paperback),Iron Man: War Machine TPB (Trade Paperback),Marvel Two-in-One (1974) #96,Old Man Hawkeye (2018) #4,Peter Parker, the Spectacular Spider-Man (1976) #16,Peter Parker, the Spectacular Spider-Man (1976) #59,Peter Parker, the Spectacular Spider-Man (1976) #60,Peter Parker, the Spectacular Spider-Man (1976) #164,The Amazing Spider-Man (1963) #94,Thunderbolts (1997) #35,Webspinners: Tales of Spider-Man (1999) #17,,,,,,,,,,,
104,Belasco,Universe X (2000) #3,Universe X (2000) #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Ben Grimm,Amazing Spider-Man (1999) #692,Amazing Spider-Man (1999) #693,Before the Fantastic Four: Ben Grimm & Logan (2000) #1,Before the Fantastic Four: Ben Grimm & Logan (2000) #2,Before the Fantastic Four: Ben Grimm & Logan (2000) #3,Captain America (2002) #18,Captain America (2002) #19,Fantastic Four (1961) #39,Fantastic Four (1961) #168,Fantastic Four (1961) #169,Fantastic Four (1961) #170,Fantastic Four (1961) #326,Fantastic Four (1961) #327,Fantastic Four (1961) #328,Fantastic Four (1961) #332,Fantastic Four (1961) #334,Fantastic Four (1961) #335,Fantastic Four (1961) #337,Fantastic Four (1961) #338,Fantastic Four (1961) #339,,,,,,,,,,,,,,,
106,Ben Parker,Amazing Spider-Man (1999) #600 (2ND PRINTING VARIANT),Amazing Spider-Man (1999) #655,Amazing Spider-Man (1999) #655 (2nd Printing Variant),Amazing Spider-Man Annual (2011) #38,Amazing Spider-Man Annual (1964) #39,AMAZING SPIDER-MAN VOL. 6: HAPPY BIRTHDAY TPB (Trade Paperback),Amazing Spider-Man: The Movie (2012) #1,Bullet Points (Trade Paperback),Bullet Points (2006) #1,Bullet Points (2006) #2,Bullet Points (2006) #3,Bullet Points (2006) #4,Bullet Points (2006) #5,Friendly Neighborhood Spider-Man (2005) #8,Friendly Neighborhood Spider-Man (2005) #9,Friendly Neighborhood Spider-Man (2005) #10,Peter Parker, the Spectacular Spider-Man (1976) #221,Spectacular Spider-Man (2003) #27,Peter Parker, the Spectacular Spider-Man (1976) #223,Amazing Spider-Man (1999) #501,,,,,,,,,,,,,
107,Ben Reilly,The Amazing Spider-Man (1963) #394,Amazing Spider-Man (1999) #608,Amazing Spider-Man (1999) #609,Amazing Spider-Man (1999) #610,AMAZING SPIDER-MAN: THE CLONE CONSPIRACY HC (Hardcover),Peter Parker, the Spectacular Spider-Man (1976) #232,Spider-Man: New York Stories (Trade Paperback),The Amazing Spider-Man (1963) #411,The Amazing Spider-Man (1963) #414,The Amazing Spider-Man (1963) #417,Ultimate Spider-Man (2000) #61,Ultimate Spider-Man (2000) #62,Ultimate Spider-Man (2000) #64,Ultimate Spider-Man (2000) #102,Ultimate Spider-Man Vol. 11: Carnage (Trade Paperback),Ultimate Spider-Man Vol. 17: Clone Saga (Trade Paperback),,,,,,,,,,,,,,,,,,
108,Ben Urich,Alias (2001) #10,Alias Omnibus (Hardcover),Amazing Spider-Man (1999) #608,Amazing Spider-Man Annual (1964) #15,Amazing Spider-Man Annual (1964) #16,Daily Bugle (1996) #1,Daily Bugle (1996) #2,Daily Bugle (1996) #3,Daredevil (1998) #16,Daredevil (1998) #17,Daredevil (1998) #76,Daredevil (1998) #83,Daredevil (1964) #160,Daredevil (1964) #164,Daredevil (1964) #179,Daredevil (1964) #180,Daredevil (1964) #227,Daredevil (1964) #228,Daredevil (1964) #229,Daredevil (1964) #230,,,,,,,,,,,,,,,
109,Bengal,Avengers: The Initiative (2007) #17,Avengers: The Initiative (2007) #21,Avengers: The Initiative (2007) #23,Avengers: The Initiative (2007) #24,Avengers: The Initiative (2007) #34,Avengers: The Initiative (2007) #35,Daredevil (1964) #258,Marvel Knights (2000) #11,Marvel Knights (2000) #12,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Beta-Ray Bill,Annihilation: Scourge (Trade Paperback),Annihilators (2010) #1,Annihilators (2010) #1 (GARNER VARIANT),Annihilators (2010) #2,Annihilators (2010) #2 (DAVIS VARIANT),Annihilators (2010) #3,Annihilators (2010) #3 (DJURDJEVIC VARIANT),Annihilators (2010) #4,Annihilators (2010) #4 (VARIANT),Annihilators: Earthfall (2011) #1,Annihilators: Earthfall (2011) #1 (Variant),Annihilators: Earthfall (2011) #2,Avengers: The Initiative (2007) #16,Beta Ray Bill (2021) #1,Beta Ray Bill (2021) #2,Beta Ray Bill (2021) #3,Beta Ray Bill (2021) #4,Beta Ray Bill (2021) #5,Beta Ray Bill: Argent Star (Trade Paperback),Code of Honor (1997) #4,,,,,,,,,,,,,,,
111,Bethany Cabe,Invincible Iron Man (2008) #519,Invincible Iron Man (2008) #527,Iron Man (1968) #131,Iron Man (1968) #132,Iron Man (1968) #133,Iron Man (1968) #134,Iron Man (1968) #135,Iron Man (1968) #137,Iron Man (1968) #138,Iron Man (1968) #139,Iron Man (1968) #140,Iron Man (1968) #160,Iron Man (1968) #297,Iron Man (1968) #301,Iron Man (1968) #302,Iron Man (1968) #304,Iron Man (1968) #305,Iron Man (1968) #306,Iron Man (1968) #307,Iron Man (1968) #308,,,,,,,,,,,,,,,
112,Betty Brant,Alias (2001) #10,Alias Omnibus (Hardcover),Amazing Spider-Man (1999) #614,Amazing Spider-Man (1999) #622,Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT),Amazing Spider-Man (1999) #654.1,Amazing Spider-Man (1999) #655,Amazing Spider-Man (1999) #655 (2nd Printing Variant),Amazing Spider-Man (1999) #665,Amazing Spider-Man (1999) #665 (AMAZING SPIDER-MAN 665 I AM CAPTAIN AMERICA VARIANT),Amazing Spider-Man (1999) #666,Amazing Spider-Man Annual (1964) #16,Amazing Spider-Man Annual (1964) #21,Amazing Spider-Man Annual (2010) #37,Amazing-Spider-Man: Worldwide Vol. 8 (Trade Paperback),Avengers: The Initiative (2007) #7,Daily Bugle (1996) #1,Daily Bugle (1996) #2,Daily Bugle (1996) #3,Peter Parker, the Spectacular Spider-Man (1976) #85,,,,,,,,,,,,,,
113,Betty Ross,Captain America Comics: 70th Anniversary Edition (2010) #1,Fantastic Force (2009) #2,Hulk (2008) #50,Hulk Annual (1999) #1,Hulk Visionaries: Peter David Vol. 1 (Trade Paperback),Immortal Hulk (2018) #14,Immortal Hulk (2018) #20,Immortal Hulk (2018) #22,Immortal Hulk (2018) #23,Immortal Hulk (2018) #35,Immortal Hulk (2018) #48,Hulk (1999) #24,Hulk (1999) #27,Hulk (1999) #28,Incredible Hulk (1962) #171,Incredible Hulk (1962) #174,Incredible Hulk (1962) #176,Incredible Hulk (1962) #190,Incredible Hulk (1962) #192,Incredible Hulk (1962) #193,,,,,,,,,,,,,,,
114,Beyonder,Avengers (1963) #261,Avengers (1963) #265,Beyond! (Hardcover),Beyond! (2006) #3,Defenders: Beyond (2022) #2,Defenders: Beyond (2022) #3,Defenders: Beyond (2022) #4,Defenders: Beyond (2022) #5,Doctor Strange (1974) #74,New Mutants (1983) #37,Power Man and Iron Fist (1978) #121,Secret Wars (1984) #1,Secret Wars II (1985) #4,Secret Wars II (1985) #5,Secret Wars II (1985) #6,Secret Wars II (1985) #7,Secret Wars II (1985) #8,Secret Wars II (1985) #9,Shame Itself (2011) #1,,,,,,,,,,,,,,,,
115,Bi-Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Big Bertha,Avengers Unlimited Infinity Comic (2022) #26,Deadpool (1997) #10,Deadpool (1997) #11,G.L.a. (2005) #1,Great Lakes Avengers (2016) #1,Great Lakes Avengers (2016) #2,Great Lakes Avengers (2016) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Big Wheel,Superior Spider-Man (2013) #1,The Amazing Spider-Man (1963) #183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Bill Hollister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Bishop,Age of Apocalypse: The Chosen (1995) #1,Astonishing X-Men (2017) #1,Astonishing X-Men (2017) #2,Astonishing X-Men (2017) #4,Astonishing X-Men (2017) #5,Astonishing X-Men (2017) #6,Astonishing X-Men (2017) #7,Astonishing X-Men (2017) #8,Astonishing X-Men (2017) #9,Astonishing X-Men (2017) #12,Astonishing X-Men by Charles Soule Vol. 1: Life of X (Trade Paperback),Avengers Assemble Vol. 4 (Hardcover),Bishop (1994) #1,Bishop: The Last X-Man (1999) #1,Bishop: The Last X-Man (1999) #3,Bishop: The Last X-Man (1999) #4,Bishop: The Last X-Man (1999) #5,Bishop: The Last X-Man (1999) #6,Bishop: The Last X-Man (1999) #7,Bishop: The Last X-Man (1999) #8,,,,,,,,,,,,,,,
